SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GCBC,2013-08-20,Greene County Bancorp Inc,NASDAQ,11.33
GCBC,2013-08-22,Greene County Bancorp Inc,NASDAQ,11.4
GCBC,2013-08-26,Greene County Bancorp Inc,NASDAQ,11.5
GCBC,2013-08-27,Greene County Bancorp Inc,NASDAQ,11.62
GCBC,2013-08-28,Greene County Bancorp Inc,NASDAQ,11.75
GCBC,2013-08-29,Greene County Bancorp Inc,NASDAQ,12.11
GCBC,2013-08-30,Greene County Bancorp Inc,NASDAQ,12.12
GCBC,2013-09-03,Greene County Bancorp Inc,NASDAQ,14.25
GCBC,2013-09-04,Greene County Bancorp Inc,NASDAQ,13.24
GCBC,2013-09-09,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2013-09-10,Greene County Bancorp Inc,NASDAQ,13.38
GCBC,2013-09-11,Greene County Bancorp Inc,NASDAQ,13.57
GCBC,2013-09-17,Greene County Bancorp Inc,NASDAQ,13.76
GCBC,2013-09-18,Greene County Bancorp Inc,NASDAQ,13.88
GCBC,2013-09-19,Greene County Bancorp Inc,NASDAQ,14.99
GCBC,2013-09-20,Greene County Bancorp Inc,NASDAQ,14
GCBC,2013-09-23,Greene County Bancorp Inc,NASDAQ,14.8
GCBC,2013-09-24,Greene County Bancorp Inc,NASDAQ,14.24
GCBC,2013-09-25,Greene County Bancorp Inc,NASDAQ,14.38
GCBC,2013-09-26,Greene County Bancorp Inc,NASDAQ,14.38
GCBC,2013-09-30,Greene County Bancorp Inc,NASDAQ,14.13
GCBC,2013-10-01,Greene County Bancorp Inc,NASDAQ,13.14
GCBC,2013-10-02,Greene County Bancorp Inc,NASDAQ,13.26
GCBC,2013-10-03,Greene County Bancorp Inc,NASDAQ,12.68
GCBC,2013-10-04,Greene County Bancorp Inc,NASDAQ,12.9
GCBC,2013-10-08,Greene County Bancorp Inc,NASDAQ,13.05
GCBC,2013-10-10,Greene County Bancorp Inc,NASDAQ,12.9
GCBC,2013-10-11,Greene County Bancorp Inc,NASDAQ,12.9
GCBC,2013-10-14,Greene County Bancorp Inc,NASDAQ,12.32
GCBC,2013-10-16,Greene County Bancorp Inc,NASDAQ,12.15
GCBC,2013-10-17,Greene County Bancorp Inc,NASDAQ,13.05
GCBC,2013-10-22,Greene County Bancorp Inc,NASDAQ,13.1
GCBC,2013-10-23,Greene County Bancorp Inc,NASDAQ,13.07
GCBC,2013-10-24,Greene County Bancorp Inc,NASDAQ,12.17
GCBC,2013-10-25,Greene County Bancorp Inc,NASDAQ,13.07
GCBC,2013-10-28,Greene County Bancorp Inc,NASDAQ,13.07
GCBC,2013-10-29,Greene County Bancorp Inc,NASDAQ,13.09
